person_age,loan_rate,nominal_loan,default_before,loan_purpose
23,21.21,21600000,Y,MEDICAL
23,20.03,24000000,Y,MEDICAL
25,19.91,30000000,Y,HOMEIMPROVEMENT
23,19.69,24000000,Y,DEBTCONSOLIDATION
23,19.41,24250000,Y,EDUCATION
23,19.04,25000000,Y,MEDICAL
26,18.99,22500000,Y,EDUCATION
24,18.64,18000000,Y,EDUCATION
23,18.62,30000000,Y,DEBTCONSOLIDATION
23,18.25,20000000,Y,HOMEIMPROVEMENT
25,17.93,25000000,Y,MEDICAL
21,17.74,4575000,Y,VENTURE
23,17.74,20000000,Y,VENTURE
23,17.58,22000000,Y,EDUCATION
26,17.56,24250000,Y,HOMEIMPROVEMENT
22,17.49,20000000,Y,PERSONAL
21,17.39,20000000,Y,VENTURE
25,17.27,30000000,Y,PERSONAL
21,17.27,3500000,Y,DEBTCONSOLIDATION
23,17.27,3600000,Y,HOMEIMPROVEMENT
26,17.26,21000000,Y,MEDICAL
26,17.19,18000000,Y,VENTURE
24,17.19,17600000,Y,MEDICAL
24,17.14,3625000,Y,VENTURE
24,17.04,20000000,Y,PERSONAL
23,17.04,20000000,Y,MEDICAL
26,16.95,21000000,Y,EDUCATION
25,16.89,30000000,Y,HOMEIMPROVEMENT
22,16.89,1625000,Y,DEBTCONSOLIDATION
23,16.89,20000000,Y,EDUCATION
23,16.82,2500000,Y,EDUCATION
25,16.77,34800000,Y,PERSONAL
24,16.77,25000000,Y,HOMEIMPROVEMENT
24,16.7,22400000,Y,VENTURE
23,16.7,20000000,Y,PERSONAL
26,16.7,19000000,Y,PERSONAL
22,16.7,18250000,Y,DEBTCONSOLIDATION
22,16.69,1000000,Y,VENTURE
24,16.63,18000000,Y,DEBTCONSOLIDATION
24,16.49,24000000,Y,PERSONAL
25,16.49,21000000,Y,PERSONAL
22,16.45,24000000,Y,PERSONAL
25,16.35,25000000,Y,EDUCATION
26,16.35,20000000,Y,PERSONAL
23,16.35,17800000,Y,MEDICAL
23,16.32,25000000,Y,VENTURE
25,16.32,21000000,Y,MEDICAL
23,16.32,20000000,Y,PERSONAL
24,16.29,24000000,Y,VENTURE
21,16.29,24000000,Y,EDUCATION
24,16.29,5000000,Y,PERSONAL
26,16.29,18000000,Y,HOMEIMPROVEMENT
24,16.07,25000000,Y,PERSONAL
22,16.02,35000000,Y,PERSONAL
23,16.02,25000000,Y,EDUCATION
25,16,25000000,Y,DEBTCONSOLIDATION
23,16,24000000,Y,DEBTCONSOLIDATION
22,16,20000000,Y,DEBTCONSOLIDATION
24,16,3000000,Y,DEBTCONSOLIDATION
25,16,18000000,Y,MEDICAL
24,15.99,28000000,Y,VENTURE
25,15.99,5650000,Y,PERSONAL
22,15.99,6000000,Y,EDUCATION
24,15.99,20000000,Y,VENTURE
23,15.99,5000000,Y,MEDICAL
26,15.96,10000000,Y,PERSONAL
22,15.95,25000000,Y,EDUCATION
25,15.95,25000000,Y,DEBTCONSOLIDATION
24,15.95,21250000,Y,VENTURE
24,15.95,21250000,Y,EDUCATION
25,15.95,20000000,Y,PERSONAL
25,15.95,17500000,Y,HOMEIMPROVEMENT
24,15.7,25000000,Y,PERSONAL
24,15.7,25000000,Y,HOMEIMPROVEMENT
21,15.68,3250000,Y,DEBTCONSOLIDATION
25,15.68,25000000,Y,HOMEIMPROVEMENT
23,15.65,25000000,Y,EDUCATION
22,15.65,24250000,Y,DEBTCONSOLIDATION
23,15.65,25000000,Y,EDUCATION
24,15.65,20000000,Y,EDUCATION
25,15.65,20000000,Y,PERSONAL
22,15.65,20000000,Y,VENTURE
22,15.65,20000000,Y,VENTURE
21,15.65,1000000,Y,VENTURE
26,15.62,27050000,Y,VENTURE
22,15.62,24000000,Y,DEBTCONSOLIDATION
22,15.58,25000000,Y,DEBTCONSOLIDATION
25,15.58,3500000,Y,PERSONAL
23,15.37,25000000,Y,MEDICAL
25,15.33,25000000,Y,VENTURE
24,15.33,25000000,Y,MEDICAL
24,15.33,25000000,Y,MEDICAL
24,15.33,21500000,Y,EDUCATION
25,15.31,1750000,Y,HOMEIMPROVEMENT
21,15.31,15250000,Y,VENTURE
22,15.31,5400000,Y,MEDICAL
26,15.28,25000000,Y,HOMEIMPROVEMENT
23,15.23,30000000,Y,PERSONAL
21,15.23,1275000,Y,EDUCATION
22,15.23,18000000,Y,MEDICAL
26,15.21,25000000,Y,PERSONAL
23,15.21,25000000,Y,VENTURE
25,15.21,1200000,Y,VENTURE
23,15.2,20000000,Y,MEDICAL
23,15.05,20000000,Y,HOMEIMPROVEMENT
22,14.96,25000000,Y,HOMEIMPROVEMENT
24,14.96,25000000,Y,DEBTCONSOLIDATION
22,14.96,25000000,Y,DEBTCONSOLIDATION
22,14.96,24150000,Y,HOMEIMPROVEMENT
22,14.96,20000000,Y,MEDICAL
22,14.96,7000000,Y,EDUCATION
22,14.96,1000000,Y,PERSONAL
24,14.96,18000000,Y,HOMEIMPROVEMENT
22,14.91,1400000,Y,HOMEIMPROVEMENT
22,14.84,1500000,Y,EDUCATION
23,14.84,20000000,Y,DEBTCONSOLIDATION
25,14.84,20000000,Y,PERSONAL
26,14.83,25000000,Y,DEBTCONSOLIDATION
23,14.79,35000000,Y,MEDICAL
22,14.79,18000000,Y,MEDICAL
24,14.74,20000000,Y,HOMEIMPROVEMENT
25,14.72,20000000,Y,DEBTCONSOLIDATION
24,14.7,25000000,Y,VENTURE
24,14.61,20000000,Y,EDUCATION
22,14.61,18250000,Y,PERSONAL
22,14.59,25000000,Y,MEDICAL
23,14.59,25000000,Y,DEBTCONSOLIDATION
24,14.59,25000000,Y,HOMEIMPROVEMENT
23,14.59,20000000,Y,DEBTCONSOLIDATION
25,14.59,6000000,Y,MEDICAL
22,14.54,33950000,Y,PERSONAL
24,14.54,30000000,Y,DEBTCONSOLIDATION
21,14.54,4900000,Y,HOMEIMPROVEMENT
24,14.54,18000000,Y,PERSONAL
24,14.46,22000000,Y,HOMEIMPROVEMENT
24,14.46,18000000,Y,HOMEIMPROVEMENT
25,14.42,20000000,Y,HOMEIMPROVEMENT
25,14.42,11900000,Y,DEBTCONSOLIDATION
26,14.35,21600000,Y,DEBTCONSOLIDATION
22,14.3,1000000,Y,MEDICAL
24,14.27,35000000,Y,MEDICAL
25,14.27,20000000,Y,MEDICAL
22,14.27,2400000,Y,MEDICAL
25,14.26,20000000,Y,MEDICAL
24,14.26,22000000,Y,VENTURE
25,14.26,20000000,Y,HOMEIMPROVEMENT
26,14.22,20000000,Y,EDUCATION
24,14.22,20000000,Y,HOMEIMPROVEMENT
26,14.17,31050000,Y,HOMEIMPROVEMENT
26,14.17,25000000,Y,MEDICAL
22,14.17,5000000,Y,DEBTCONSOLIDATION
21,14.11,4200000,Y,PERSONAL
24,14.09,25000000,Y,PERSONAL
21,13.99,2000000,Y,PERSONAL
22,13.98,21000000,Y,PERSONAL
22,13.98,20000000,Y,EDUCATION
22,13.92,20000000,Y,DEBTCONSOLIDATION
22,13.85,4750000,Y,HOMEIMPROVEMENT
22,13.85,24000000,Y,DEBTCONSOLIDATION
26,13.85,20000000,Y,HOMEIMPROVEMENT
23,13.85,20000000,Y,MEDICAL
22,13.85,18000000,Y,VENTURE
22,13.85,18000000,Y,MEDICAL
22,13.79,20000000,Y,EDUCATION
21,13.61,3000000,Y,EDUCATION
22,13.61,21600000,Y,PERSONAL
26,13.57,12000000,Y,VENTURE
